ACDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/21/2015,25,21,18,17,16,13,94,71,50,1012,1009,1006,31,12,5,37,21,,0,4,Rain,198
1/22/2015,27,21,14,20,15,12,88,67,31,1013,1009,1005,31,16,10,35,14,,0,1,,211
1/23/2015,24,21,17,18,13,10,88,62,40,1010,1008,1006,31,13,10,35,18,,0,2,,202
1/24/2015,23,19,14,15,12,9,82,62,36,1010,1008,1007,31,12,10,42,14,58,0,3,,252
1/25/2015,21,18,16,12,7,4,68,44,23,1016,1013,1009,31,13,10,34,26,48,0,3,,211
1/26/2015,21,18,15,9,7,3,67,47,22,1019,1017,1015,31,14,10,27,14,,0,6,,166
1/27/2015,22,17,13,10,7,4,72,48,25,1019,1017,1016,31,14,10,37,18,47,0,2,,154
1/28/2015,25,19,13,14,8,5,77,48,20,1019,1016,1015,31,13,10,32,21,58,0,1,,148
1/29/2015,30,23,17,15,7,-3,88,40,6,1018,1015,1014,31,31,31,34,21,,0,,,133
1/30/2015,27,21,16,14,8,1,77,43,11,1016,1014,1012,31,22,10,34,16,48,0,1,,168
1/31/2015,23,19,14,11,8,6,72,51,26,1017,1015,1013,31,13,10,32,24,47,0,4,,147
2/1/2015,21,18,14,12,10,7,82,60,37,1020,1017,1016,31,12,10,34,21,47,0,6,Rain,174
2/2/2015,23,19,14,12,9,7,82,55,27,1023,1021,1019,31,13,10,37,24,47,0,4,,165
2/3/2015,25,19,14,13,10,8,77,56,23,1024,1022,1020,31,13,10,39,21,,0,1,,157
2/4/2015,25,19,14,11,9,7,72,54,26,1022,1020,1018,31,13,10,29,21,,0,3,,151
2/5/2015,27,19,12,14,8,5,72,46,17,1022,1019,1017,31,20,10,27,16,,0,3,,176
2/6/2015,34,24,14,14,8,0,67,37,5,1020,1017,1014,31,24,10,32,11,,0,2,,172
2/7/2015,36,28,21,18,11,7,73,34,11,1017,1016,1014,31,26,10,29,18,35,0,,,319
2/8/2015,30,23,17,14,11,7,72,47,18,1023,1020,1017,31,14,10,32,16,,0,1,,170
2/9/2015,28,21,15,14,9,-6,77,50,9,1024,1022,1019,31,14,10,27,16,,0,1,,175
2/10/2015,31,21,11,16,2,-17,58,31,4,1022,1020,1018,31,31,31,27,8,,0,,,207
2/11/2015,32,24,17,15,5,-8,60,30,4,1021,1019,1017,31,31,31,37,10,,0,,,164
2/12/2015,34,26,17,17,13,10,73,49,17,1020,1018,1015,31,22,10,27,16,,0,6,,166
2/13/2015,35,28,20,18,13,8,73,42,13,1017,1015,1014,31,26,10,29,8,42,0,8,Rain,132
2/14/2015,40,33,26,19,10,4,49,25,6,1017,1013,1011,31,24,10,34,16,,0,7,Rain,37
2/15/2015,36,28,20,19,11,6,69,34,10,1016,1012,1008,31,24,10,40,21,52,0,6,,305
2/16/2015,24,21,17,14,12,10,73,55,31,1020,1018,1016,31,13,10,42,23,,0,3,,182
2/17/2015,27,20,14,14,11,9,82,59,25,1019,1017,1015,31,12,10,37,18,,0,1,,160
2/18/2015,31,23,16,13,11,8,77,50,16,1019,1017,1014,31,15,10,24,18,,0,1,,126
2/19/2015,33,24,16,15,10,1,77,38,6,1016,1013,1011,31,31,31,19,11,,0,,,201
2/20/2015,36,28,21,16,9,4,69,29,10,1014,1012,1010,31,31,31,21,10,,0,,,183
2/21/2015,37,30,24,18,11,6,58,29,13,1011,1009,1007,31,31,31,29,14,,0,,,340
2/22/2015,36,29,22,21,16,9,83,47,11,1010,1009,1007,31,24,10,27,11,47,0,1,,239
2/23/2015,27,21,16,21,12,6,74,50,29,1022,1015,1008,31,13,10,35,21,66,0,2,,171
2/24/2015,25,19,14,10,6,2,68,43,16,1022,1020,1018,31,13,10,29,24,39,0,1,,146
2/25/2015,24,18,13,13,9,6,68,52,32,1019,1015,1012,31,31,31,27,14,,0,,,198
2/26/2015,26,20,14,16,9,2,72,45,12,1014,1011,1010,31,31,31,26,10,,0,,,220
2/27/2015,33,26,18,15,12,9,68,43,19,1011,1008,1005,31,26,10,26,6,,0,7,Rain,162
2/28/2015,32,25,18,18,14,11,73,47,17,1012,1005,1002,31,15,10,37,24,,0,4,Rain,196
3/1/2015,25,20,16,13,9,6,72,48,23,1017,1015,1012,31,14,10,29,19,50,0,5,,169
3/2/2015,25,20,14,16,11,7,78,53,24,1016,1014,1012,31,24,10,23,13,,0,8,Rain,176
3/3/2015,26,21,15,13,11,7,77,53,22,1019,1016,1015,31,15,10,35,16,,0,4,Rain,160
3/4/2015,22,17,13,14,11,8,82,61,36,1020,1018,1016,31,11,10,37,16,,0,4,,209
3/5/2015,21,18,14,14,7,3,73,48,20,1024,1021,1018,31,13,10,39,27,52,0,5,Rain,193
3/6/2015,22,18,13,13,11,8,68,58,39,1022,1018,1015,31,12,10,32,19,,0,4,,212
3/7/2015,22,19,17,16,12,11,83,63,44,1016,1015,1013,31,12,10,23,14,,0,4,,205
3/8/2015,22,20,18,16,13,10,83,65,36,1015,1014,1012,31,12,10,24,16,,0.25,3,,240
3/9/2015,23,20,16,18,15,11,88,72,52,1018,1015,1013,31,12,10,27,19,,0.25,3,Rain,236
3/10/2015,22,17,11,11,10,8,88,61,35,1019,1017,1015,31,14,10,24,11,,0,1,,169
3/11/2015,22,17,12,16,12,9,88,67,40,1019,1017,1016,31,12,10,29,11,,0,2,,196
3/12/2015,23,18,13,13,11,7,88,60,30,1023,1021,1018,31,13,10,39,16,,0,3,,176
3/13/2015,22,17,12,14,9,6,82,55,31,1023,1021,1018,31,25,10,23,14,,0,1,,192
3/14/2015,27,18,10,17,8,1,82,53,13,1019,1016,1014,31,20,10,24,10,,0,1,,160
3/15/2015,24,20,16,16,9,3,88,54,16,1018,1015,1014,31,14,10,27,16,,0,4,,149
3/16/2015,32,22,12,9,6,2,77,34,11,1014,1008,1002,31,31,31,29,10,,0,,,28
3/17/2015,29,24,20,18,16,3,83,66,12,1006,1003,1001,31,14,8,34,23,53,0.51,4,Rain,301
3/18/2015,27,23,18,17,14,10,88,60,26,1009,1006,1005,31,13,10,32,21,,0,3,Rain,305
3/19/2015,26,23,19,19,13,9,73,53,23,1015,1007,1001,31,14,10,35,23,,0,2,,267
3/20/2015,22,18,15,11,8,5,64,49,25,1026,1021,1015,31,12,10,34,23,,0,3,Rain,193
3/21/2015,22,17,11,11,7,4,67,46,28,1026,1023,1021,31,30,26,27,14,,0,,,127
3/22/2015,30,21,11,7,2,-6,72,31,6,1021,1015,1008,31,31,31,24,10,,0,,,19
3/23/2015,28,21,15,19,11,-6,83,61,4,1021,1014,1008,31,12,9,42,27,50,2.03,5,Rain,227
3/24/2015,19,16,12,10,7,3,82,56,26,1023,1021,1019,31,11,10,29,14,,0,5,,163
3/25/2015,21,16,12,13,6,1,94,52,25,1022,1019,1016,31,11,4,50,18,63,0.25,5,Rain,299
3/26/2015,19,16,13,9,4,2,67,46,26,1028,1025,1021,31,13,10,39,32,50,0,4,,217
3/27/2015,19,16,13,12,9,6,82,63,39,1030,1027,1026,31,12,10,26,14,,0,6,Rain,177
3/28/2015,22,15,8,10,8,6,93,61,27,1027,1024,1020,31,13,10,21,8,,0,3,,58
3/29/2015,24,18,12,13,9,6,72,54,25,1024,1022,1020,,,,16,6,,0,,,187
3/30/2015,23,17,12,15,12,9,82,64,44,1026,1024,1022,10,10,10,23,8,,0,1,,173
3/31/2015,29,20,12,14,9,6,88,51,19,1024,1021,1018,31,31,31,21,6,,0,,,91
4/1/2015,29,23,17,18,9,0,94,49,8,1020,1016,1013,31,17,10,32,16,48,0.51,6,Rain,360
4/2/2015,22,17,13,13,7,2,77,51,20,1026,1023,1020,31,13,10,34,23,,0,2,,137
4/3/2015,23,17,11,8,3,1,67,40,16,1025,1022,1019,31,30,26,26,14,,0,,,126
4/4/2015,22,16,9,11,7,4,82,55,20,1021,1017,1014,31,20,10,24,10,,0,1,,189
4/5/2015,20,17,13,12,9,7,88,60,36,1015,1013,1012,31,14,9,29,14,,0,5,Rain,179
4/6/2015,16,12,9,13,9,5,97,76,40,1014,1011,1007,31,10,5,45,23,66,11.94,6,Fog-Rain-Hail,194
4/7/2015,17,13,8,10,7,4,82,62,29,1026,1021,1014,31,12,10,35,27,52,0,5,,183
4/8/2015,19,14,11,11,9,7,94,69,42,1029,1027,1025,31,13,10,32,11,,0,4,,184
4/9/2015,18,14,10,11,8,6,94,67,36,1028,1026,1025,31,13,10,26,11,,0,4,,160
4/10/2015,19,13,8,13,9,7,94,71,48,1026,1024,1021,31,15,10,21,10,,0,5,,172
4/11/2015,23,16,9,10,7,4,94,56,24,1022,1019,1017,31,31,31,19,6,,0,,,94
4/12/2015,24,19,13,13,9,4,82,56,18,1021,1019,1017,31,28,10,16,6,,0,7,Rain,98
4/13/2015,26,19,13,14,9,4,82,52,18,1019,1016,1013,31,23,10,19,5,,0,7,Rain,29
4/14/2015,28,22,16,13,9,3,77,44,15,1016,1013,1011,31,31,31,34,16,,0,,,356
4/15/2015,21,17,13,17,14,11,88,78,45,1024,1020,1016,31,13,10,23,6,,0,3,,185
4/16/2015,18,17,14,16,14,12,94,83,68,1027,1024,1023,31,12,6,19,8,,8.89,7,Rain,147
4/17/2015,17,14,13,13,12,11,100,84,65,1023,1019,1015,31,11,5,24,10,,0.25,7,Rain,146
4/18/2015,19,14,11,15,12,7,100,78,57,1025,1018,1015,31,10,2,34,16,50,3.05,5,Rain,246
4/19/2015,17,12,8,7,4,1,82,59,27,1037,1032,1025,31,13,10,32,14,,0,2,,154
4/20/2015,17,11,6,8,3,-2,77,53,20,1039,1037,1035,31,15,10,29,14,,0,1,,145
4/21/2015,18,13,8,9,6,4,82,59,30,1035,1032,1028,31,13,10,27,16,,0,1,,154
4/22/2015,20,14,8,11,8,5,87,65,33,1029,1025,1021,31,14,10,29,13,,0,4,Rain,159
4/23/2015,18,14,10,13,11,9,94,80,69,1021,1016,1012,31,13,10,14,8,,0,6,,265
4/24/2015,17,13,11,13,10,4,94,75,38,1012,1007,1001,31,10,1,45,23,61,8.89,6,Rain,305
4/25/2015,17,12,8,13,9,8,100,79,49,1021,1012,1001,31,11,3,34,21,,0.51,4,Rain,192
4/26/2015,17,12,8,11,7,3,96,67,36,1027,1024,1021,31,13,10,27,13,,0,5,,178
4/27/2015,17,14,10,10,7,4,87,62,41,1029,1027,1026,31,14,10,26,11,,0,5,Rain,180
4/28/2015,16,12,8,9,7,4,93,71,33,1031,1029,1028,31,13,10,16,6,,0,5,,146
4/29/2015,17,12,8,8,4,1,82,56,26,1031,1029,1028,31,11,10,23,13,,0,6,,134
4/30/2015,20,14,8,9,7,4,87,57,33,1029,1027,1025,10,10,10,26,13,,0,3,,160
5/1/2015,22,15,8,10,8,5,87,59,28,1025,1021,1017,10,10,10,23,10,,0,7,,18
5/2/2015,20,17,13,13,11,8,94,67,43,1020,1018,1016,31,12,10,21,14,,0,3,Rain,324
5/3/2015,20,16,11,13,11,7,100,75,38,1021,1019,1014,31,10,1,19,11,,0,5,Fog,35
5/4/2015,27,19,12,13,6,0,77,42,10,1014,1007,1003,31,13,5,42,23,61,0,7,Rain,7
5/5/2015,18,14,11,11,7,3,88,59,32,1016,1009,1004,31,11,3,58,42,80,0.51,4,Rain,278
5/6/2015,18,14,12,13,9,5,88,62,39,1023,1019,1015,31,11,3,47,31,60,0.25,5,Rain,260
5/7/2015,17,14,12,11,8,4,88,60,41,1027,1025,1022,26,11,2,39,24,47,0.51,5,Rain,232
5/8/2015,17,14,13,13,11,7,94,76,54,1026,1023,1020,26,10,3,34,21,,2.03,6,Rain,271
5/9/2015,18,16,13,13,11,9,94,71,48,1021,1017,1014,26,11,5,45,27,58,0.51,6,Rain,305
5/10/2015,18,16,14,14,13,11,94,80,61,1019,1015,1011,19,10,3,39,34,50,1.02,5,Rain,270
5/11/2015,17,16,14,14,13,12,94,80,64,1022,1020,1018,26,11,7,35,26,50,0.51,6,Rain,252
5/12/2015,16,12,9,13,8,2,94,67,30,1026,1021,1019,26,11,5,47,26,64,1.02,5,Rain,234
5/13/2015,15,11,6,8,5,2,93,65,35,1036,1032,1026,31,13,10,32,16,47,0,3,,172
5/14/2015,15,10,4,12,8,4,100,83,58,1038,1037,1035,31,12,6,24,8,,0,5,Fog-Rain,155
5/15/2015,16,11,7,10,8,7,100,76,52,1038,1037,1035,31,12,10,19,11,,0,4,Fog,157
5/16/2015,15,10,6,10,7,4,93,75,47,1036,1033,1030,31,14,10,21,8,,0,2,,123
5/17/2015,20,12,3,11,7,3,100,74,34,1032,1029,1026,31,12,10,16,6,,0,1,,120
5/18/2015,22,16,11,14,10,6,100,62,31,1027,1021,1015,31,9,4,29,16,50,23.11,7,Rain,40
5/19/2015,19,16,12,14,13,11,100,82,53,1015,1011,1007,31,10,3,34,18,,0.25,5,Rain-Thunderstorm,348
5/20/2015,15,13,11,11,8,4,88,69,42,1024,1018,1012,31,12,6,32,23,,0,4,Rain,202
5/21/2015,15,11,7,8,7,5,93,75,39,1030,1027,1024,31,11,8,23,10,,0,4,,177
5/22/2015,16,11,6,8,6,4,100,72,41,1032,1031,1029,31,13,10,23,8,,0,4,Fog,136
5/23/2015,15,9,3,8,6,3,100,78,49,1032,1030,1028,31,15,10,14,3,,0,6,Fog,289
5/24/2015,17,11,6,8,7,4,93,69,36,1029,1028,1027,31,29,26,16,10,,0,8,,41
5/25/2015,19,14,9,11,8,7,93,69,35,1029,1027,1025,31,30,26,14,8,,0,8,,44
5/26/2015,20,16,12,12,9,7,82,57,31,1026,1023,1020,31,30,26,16,11,,0.25,8,,7
5/27/2015,19,15,11,13,11,9,88,74,52,1021,1020,1018,31,13,10,23,13,,0,2,,17
5/28/2015,18,13,9,13,11,8,94,79,61,1022,1019,1017,31,11,3,29,16,,0.76,5,Fog-Rain,335
5/29/2015,16,13,10,11,9,8,94,75,54,1025,1023,1021,31,13,10,14,10,,0.51,5,Fog-Rain,229
5/30/2015,15,12,8,12,10,8,100,86,67,1024,1022,1019,31,11,3,29,13,,0.51,5,Fog-Rain,339
5/31/2015,16,13,11,12,10,5,88,73,47,1023,1019,1018,31,12,8,35,19,,0,5,Rain,265
6/1/2015,14,10,6,7,4,1,87,64,30,1030,1027,1023,31,15,10,16,8,,0,4,,125
6/2/2015,14,9,4,4,2,-1,87,60,25,1031,1028,1025,31,31,31,19,10,,0,,,69
6/3/2015,16,10,4,7,2,-1,76,53,29,1025,1022,1020,31,19,10,24,13,,0.51,1,,21
6/4/2015,17,13,9,13,7,2,82,63,43,1022,1018,1016,31,11,8,42,26,64,0,4,Rain,304
6/5/2015,16,12,9,12,9,7,100,75,53,1029,1025,1021,31,12,10,34,21,,0.25,3,Fog,229
6/6/2015,20,13,6,9,7,5,100,70,28,1029,1027,1024,31,20,10,21,10,,0,,Fog,33
6/7/2015,17,13,11,8,7,6,76,60,43,1025,1023,1021,31,27,10,29,21,45,0,,,18
6/8/2015,17,13,10,14,11,6,100,78,60,1022,1021,1019,31,12,5,27,19,,2.03,5,Rain,344
6/9/2015,16,12,9,14,7,1,100,70,27,1033,1027,1021,31,12,3,29,16,,0,5,Rain,194
6/10/2015,13,9,6,7,4,1,87,64,32,1037,1035,1032,31,14,10,27,11,,0,5,,132
6/11/2015,14,8,2,5,3,1,93,68,35,1036,1033,1031,31,13,10,16,8,,0,1,,139
6/12/2015,17,10,3,9,6,2,93,73,30,1031,1028,1026,31,18,10,26,8,,0,1,Fog,52
6/13/2015,20,14,8,12,9,7,94,70,37,1026,1024,1022,31,23,10,23,8,,0,6,,32
6/14/2015,19,16,12,13,10,8,94,69,37,1024,1022,1021,31,13,10,21,10,,1.02,8,Rain,21
6/15/2015,16,14,12,14,12,11,100,90,74,1022,1020,1018,26,11,3,13,5,,1.02,6,Rain,250
6/16/2015,16,13,11,13,12,9,100,88,68,1018,1016,1014,31,11,8,16,5,,0,6,Fog,182
6/17/2015,16,13,10,12,11,9,100,84,64,1019,1017,1015,26,10,5,19,6,,4.06,5,Fog-Rain,195
6/18/2015,16,13,10,12,8,3,100,72,41,1026,1022,1018,26,11,3,26,14,,0,5,Rain,168
6/19/2015,15,10,4,10,6,3,94,73,45,1028,1026,1024,31,12,4,16,10,,0,4,Rain,148
6/20/2015,14,9,4,6,3,0,100,63,28,1029,1027,1026,31,13,10,19,8,,0,4,Fog,71
6/21/2015,15,9,3,4,2,0,81,56,34,1027,1023,1019,31,14,10,29,18,,0,2,,34
6/22/2015,18,14,10,9,4,1,77,50,21,1021,1016,1012,31,13,6,39,24,48,2.03,,Rain,28
6/23/2015,17,14,11,12,9,5,100,72,44,1020,1016,1014,31,10,1,32,21,48,1.02,4,Rain,326
6/24/2015,14,12,10,11,9,5,94,82,54,1030,1024,1019,26,11,5,32,14,,0.76,5,Rain,195
6/25/2015,14,12,9,11,8,6,96,72,49,1034,1032,1030,31,12,1,21,8,,0.51,6,Rain,237
6/26/2015,15,10,5,11,8,4,100,78,41,1034,1033,1032,31,10,3,21,8,,0,4,Rain,30
6/27/2015,13,8,3,10,6,2,100,85,60,1035,1033,1032,26,11,9,14,6,,0,6,Fog,37
6/28/2015,16,10,5,9,7,4,93,78,46,1035,1034,1032,31,11,10,16,5,,0,3,Fog,119
6/29/2015,14,8,2,7,5,2,93,75,40,1034,1032,1029,31,16,10,13,6,,0,6,,85
6/30/2015,12,9,7,7,6,2,93,67,38,1032,1030,1029,31,13,10,13,6,,0,6,,355
7/1/2015,14,9,4,7,4,1,93,67,31,1031,1029,1027,31,14,10,16,10,,0,6,,22
7/2/2015,15,10,6,10,7,3,88,71,39,1031,1029,1027,31,13,10,21,13,,0,5,,73
7/3/2015,12,7,2,7,4,1,93,75,47,1030,1028,1025,19,11,10,16,5,,0,6,Fog,22
7/4/2015,16,11,5,8,6,4,93,73,38,1025,1023,1021,31,13,10,16,10,,0,3,,26
7/5/2015,17,11,6,6,4,3,93,62,32,1022,1019,1016,31,24,10,24,14,,1.02,,Rain,24
7/6/2015,15,12,9,11,9,4,94,79,45,1020,1017,1015,31,12,3,27,19,,2.03,5,Rain,315
7/7/2015,15,13,10,12,11,9,100,88,73,1024,1021,1019,31,12,10,23,16,,0.25,4,Rain,280
7/8/2015,15,11,8,10,8,3,100,75,41,1025,1023,1021,31,10,0,16,11,,0,5,Fog-Rain,40
7/9/2015,19,14,11,9,5,2,88,52,27,1022,1019,1016,31,14,10,24,14,,0.76,6,Rain,14
7/10/2015,15,12,10,12,9,5,88,74,52,1016,1013,1009,31,14,6,35,19,53,8.89,5,Rain,353
7/11/2015,12,9,6,10,5,2,100,65,42,1014,1009,1006,26,10,4,53,34,71,1.02,5,Rain-Thunderstorm,260
7/12/2015,13,11,8,8,5,2,87,62,41,1023,1018,1014,31,11,5,48,39,69,0.25,5,Rain,212
7/13/2015,14,12,9,11,9,7,94,77,60,1023,1021,1020,31,12,10,29,21,,0.76,4,Rain,227
7/14/2015,14,11,9,12,7,2,94,74,49,1021,1017,1015,31,10,0,40,24,69,4.06,6,Rain,255
7/15/2015,13,9,5,10,6,3,93,75,49,1025,1020,1015,31,12,5,34,23,52,0.51,4,Rain,187
7/16/2015,14,10,6,8,6,2,93,71,42,1029,1027,1024,31,13,10,23,14,,0,4,Rain,188
7/17/2015,13,9,5,7,6,4,100,76,47,1031,1029,1028,31,13,10,26,13,,0,5,,178
7/18/2015,13,8,4,8,4,1,100,76,47,1033,1032,1030,31,12,10,19,6,,0,4,Fog,87
7/19/2015,12,7,1,2,1,-1,93,68,32,1034,1032,1030,31,13,10,19,10,,0,2,,88
7/20/2015,13,7,2,2,0,-2,87,58,26,1031,1027,1022,31,14,10,27,14,,0,1,,24
7/21/2015,14,10,6,6,2,-1,62,46,31,1022,1017,1013,31,12,10,35,27,55,3.05,8,Rain,14
7/22/2015,15,11,7,11,8,5,100,84,59,1024,1020,1014,31,12,4,29,21,50,0.51,5,Rain,359
7/23/2015,18,10,3,11,6,3,100,75,31,1024,1019,1014,31,12,7,27,11,,2.03,4,Fog-Rain,31
7/24/2015,15,12,10,11,9,7,94,77,61,1016,1014,1013,31,12,8,39,21,50,1.02,4,Rain,328
7/25/2015,15,13,11,12,9,6,100,78,60,1018,1016,1013,26,11,3,45,27,60,2.03,5,Rain,313
7/26/2015,12,10,7,8,4,0,87,60,37,1030,1023,1016,31,11,5,40,31,50,0.25,3,Rain,234
7/27/2015,13,8,4,9,6,3,100,81,50,1036,1034,1030,31,12,9,19,10,,0.25,3,Rain,18
7/28/2015,13,10,7,8,7,5,100,84,53,1038,1036,1033,31,12,5,21,11,,0,5,Fog,27
7/29/2015,13,9,6,5,3,2,81,60,33,1033,1028,1023,31,31,31,26,16,,0,8,,23
7/30/2015,14,11,7,11,4,-1,94,60,31,1023,1020,1017,31,11,5,42,23,61,0,6,Rain,347
7/31/2015,16,9,3,11,6,2,100,71,37,1023,1018,1013,31,13,10,27,11,,1.02,5,Rain,24
8/1/2015,14,12,9,12,9,6,100,88,71,1019,1016,1012,31,9,3,27,18,,3.05,7,Rain,195
8/2/2015,15,11,8,10,8,5,93,75,56,1023,1020,1018,31,12,5,42,14,50,0.51,5,Rain,271
8/3/2015,13,10,7,10,8,5,100,77,52,1028,1025,1022,26,11,5,34,23,58,0.76,5,Rain,222
8/4/2015,12,9,6,11,8,6,100,86,65,1028,1026,1022,26,11,2,32,11,,2.03,6,Rain,329
8/5/2015,13,11,9,11,8,6,100,78,58,1024,1022,1020,26,11,4,35,26,42,0,5,Rain,226
8/6/2015,13,11,8,9,8,7,95,78,60,1028,1026,1023,26,11,6,24,14,,0.25,5,Rain,206
8/7/2015,12,9,6,9,8,4,100,85,66,1029,1028,1026,31,12,9,14,10,,0,5,Rain,29
8/8/2015,16,9,3,6,5,3,100,71,36,1027,1023,1019,31,13,10,24,11,,0,3,Fog,28
8/9/2015,19,13,8,9,4,1,77,48,25,1019,1014,1008,31,16,10,37,23,50,0,7,Rain,12
8/10/2015,14,12,11,10,8,6,88,74,48,1014,1012,1011,26,12,9,34,27,,0.25,3,Rain,309
8/11/2015,16,11,7,9,6,0,93,71,23,1013,1007,1003,31,12,3,48,27,61,3.05,5,Rain,348
8/12/2015,14,11,9,9,6,3,88,67,42,1021,1012,1004,26,11,10,47,29,64,0,4,Rain,247
8/13/2015,15,13,11,12,11,8,100,87,58,1025,1023,1020,31,10,2,24,16,,0.25,6,Fog-Rain,293
8/14/2015,14,12,10,12,11,10,100,89,73,1031,1027,1025,31,9,1,21,11,,0.25,6,Fog-Rain,314
8/15/2015,14,12,10,12,11,9,100,89,62,1033,1031,1030,26,10,1,16,6,,0,6,Fog-Rain,263
8/16/2015,14,10,6,10,8,6,100,87,65,1031,1027,1024,31,9,3,13,6,,0,4,Fog,286
8/17/2015,14,11,8,13,9,6,94,82,52,1024,1023,1022,31,12,7,27,11,,1.02,5,Rain,239
8/18/2015,14,11,8,7,6,3,87,66,42,1025,1023,1021,31,11,10,16,8,,0,5,,157
8/19/2015,18,13,8,8,5,2,76,52,26,1022,1020,1016,31,20,10,27,19,,0,,Rain,38
8/20/2015,22,18,13,9,4,0,72,36,17,1016,1014,1011,31,14,10,42,31,60,2.03,8,Rain,21
8/21/2015,19,16,12,12,11,8,88,72,42,1015,1012,1009,31,11,5,34,18,,0.76,4,Rain,347
8/22/2015,16,12,8,12,10,7,100,87,53,1019,1017,1015,31,10,0,24,13,,0,4,Fog,15
8/23/2015,17,11,4,9,7,4,98,71,38,1021,1019,1017,31,13,10,29,11,,0,5,Fog,128
8/24/2015,14,11,9,6,2,0,71,51,30,1028,1024,1021,31,12,10,40,26,55,0,6,,155
8/25/2015,15,11,8,6,2,-3,87,53,19,1029,1027,1025,31,12,10,27,16,,0,2,,164
8/26/2015,14,10,6,8,6,4,93,71,47,1026,1025,1023,31,16,10,27,10,,0,5,,194
8/27/2015,14,9,4,9,6,3,93,76,53,1029,1026,1023,31,12,10,24,8,,0,3,Rain,172
8/28/2015,14,10,6,9,6,3,95,73,39,1030,1028,1027,31,11,3,21,11,,0,5,Fog-Rain,173
8/29/2015,14,9,3,7,4,2,93,65,32,1029,1027,1026,31,12,10,21,6,,0,5,,132
8/30/2015,16,11,6,5,2,0,76,53,25,1027,1025,1022,31,14,10,21,8,,0,1,,97
8/31/2015,18,11,3,5,3,0,93,55,18,1022,1019,1015,31,13,10,19,8,,0,1,,40
9/1/2015,20,15,10,9,4,1,82,43,19,1015,1011,1006,10,9,6,34,18,52,6.1,8,Rain,29
9/2/2015,14,12,10,11,9,7,94,82,60,1010,1005,1000,31,10,5,32,23,,4.06,6,Rain,26
9/3/2015,15,12,9,12,10,7,94,81,68,1027,1020,1011,31,12,6,34,18,,0.25,6,Rain,200
9/4/2015,13,10,6,8,6,4,93,71,49,1029,1027,1025,31,12,10,19,11,,0,6,,173
