AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
3/1/2015,38,29,20,21,18,14,100,67,18,1016,1007,1002,31,11,1,72,21,97,10.92,5,Rain-Thunderstorm,272
3/2/2015,24,21,18,17,14,12,73,59,38,1019,1017,1016,31,12,10,42,29,61,0,5,,170
3/3/2015,28,23,18,19,15,12,78,59,28,1018,1014,1012,31,18,10,32,13,,0,4,,13
3/4/2015,28,24,21,20,19,18,88,75,51,1014,1011,1007,31,13,10,27,18,,0,4,Rain,148
3/5/2015,26,23,19,20,13,4,94,55,15,1013,1008,1004,31,13,10,45,18,60,0,3,,226
3/6/2015,30,23,16,15,7,-2,63,38,8,1012,1007,1003,31,26,10,39,19,53,0,1,,288
3/7/2015,26,22,18,19,17,13,89,68,40,1013,1010,1008,31,12,10,34,18,,0,4,Rain,96
3/8/2015,24,22,20,20,19,18,88,80,67,1012,1010,1009,26,12,10,32,14,,0,6,,208
3/9/2015,31,26,20,22,17,11,94,65,24,1014,1011,1009,31,14,10,27,14,,0,4,,224
3/10/2015,25,23,21,21,19,18,88,78,62,1018,1016,1014,26,12,10,32,26,47,0,5,Rain,157
3/11/2015,29,24,21,21,19,17,94,74,47,1017,1015,1012,26,12,10,35,14,,0,3,Rain-Thunderstorm,274
3/12/2015,26,23,20,21,19,17,88,74,58,1017,1014,1012,26,12,10,35,18,50,0,4,,183
3/13/2015,23,20,18,17,16,12,88,72,45,1021,1019,1016,23,11,5,40,31,60,2.03,6,Rain,184
3/14/2015,24,20,16,15,13,11,88,60,34,1021,1016,1010,31,14,10,29,16,,0,3,Rain,5
3/15/2015,23,20,17,18,14,10,94,68,44,1017,1012,1007,31,10,1,52,27,69,7.11,5,Rain-Thunderstorm,189
3/16/2015,23,19,16,14,9,7,77,47,27,1018,1016,1015,31,13,10,35,23,,0,4,,137
3/17/2015,25,20,16,17,13,9,77,57,28,1016,1013,1011,31,13,10,27,14,,0,5,,357
3/18/2015,30,24,19,21,18,15,94,71,36,1011,1006,1002,31,14,10,32,11,,0,4,Rain-Thunderstorm,13
3/19/2015,27,23,19,21,18,16,88,69,45,1012,1010,1006,31,14,10,27,14,,0,1,,115
3/20/2015,29,24,19,21,18,16,94,78,40,1022,1013,1009,26,10,5,52,23,71,0.25,5,Rain-Thunderstorm,211
3/21/2015,23,20,18,17,14,10,94,63,34,1026,1024,1022,26,11,6,42,32,61,0.25,6,Rain,148
3/22/2015,25,22,18,19,16,13,88,66,43,1026,1023,1021,26,12,6,27,23,,3.05,6,Rain,71
3/23/2015,27,23,18,20,18,16,94,71,45,1021,1016,1012,31,12,10,35,18,50,0,4,,6
3/24/2015,26,23,20,21,19,18,100,85,62,1013,1011,1009,31,11,2,26,13,,9.91,6,Rain-Thunderstorm,173
3/25/2015,23,19,15,18,14,12,88,68,43,1019,1016,1013,31,13,10,32,23,53,0.25,2,,197
3/26/2015,28,23,18,14,10,-1,73,46,14,1020,1017,1014,31,14,10,32,13,,0,3,,300
3/27/2015,26,20,14,9,1,-5,41,24,10,1021,1019,1016,31,31,31,35,24,53,0,,,262
3/28/2015,22,19,15,11,8,3,60,44,23,1024,1022,1020,31,11,10,24,19,34,0,1,,199
3/29/2015,26,21,15,17,13,11,82,61,35,1024,1022,1020,31,13,10,27,11,,0.25,4,,360
3/30/2015,24,20,16,18,16,14,88,74,46,1026,1023,1021,31,12,2,42,13,,9.91,5,Rain-Thunderstorm,132
3/31/2015,23,20,18,19,17,13,94,81,45,1027,1025,1024,31,11,1,29,11,,20.07,4,Rain-Thunderstorm,157
4/1/2015,27,22,17,19,17,16,95,74,45,1025,1022,1019,31,13,9,29,13,,0,3,Fog-Rain,351
4/2/2015,31,24,19,19,17,14,88,66,28,1021,1017,1015,31,14,10,39,13,,0,6,Rain-Thunderstorm,340
4/3/2015,21,19,17,18,16,13,100,84,59,1024,1023,1020,19,10,4,40,32,,4.06,6,Rain,183
4/4/2015,20,18,16,17,16,14,94,86,71,1023,1019,1014,16,9,4,39,29,,6.1,6,Fog-Rain,145
4/5/2015,22,19,16,16,15,13,100,77,50,1014,1009,1005,31,12,4,29,18,,1.02,4,Rain,206
4/6/2015,26,20,15,17,15,13,96,77,34,1008,1006,1005,31,9,0,37,13,47,2.03,4,Fog-Rain-Thunderstorm,328
4/7/2015,24,19,15,15,9,-1,94,56,15,1010,1007,1005,31,13,10,55,18,69,0.25,2,Rain-Thunderstorm,307
4/8/2015,22,18,14,9,6,4,63,42,21,1016,1011,1005,31,13,10,45,29,63,0,5,,264
4/9/2015,20,18,15,12,9,7,64,51,35,1023,1020,1016,31,12,10,47,32,64,0,3,,211
4/10/2015,20,17,14,16,14,9,94,79,47,1025,1023,1022,31,11,3,35,23,,3.05,5,Rain,219
4/11/2015,21,18,16,17,15,14,96,83,59,1024,1021,1019,31,10,4,19,13,,0,5,Rain,316
4/12/2015,21,18,15,17,14,12,94,74,50,1021,1018,1016,31,13,10,39,16,50,0,4,Rain,227
4/13/2015,20,18,15,14,12,10,82,66,48,1024,1022,1020,31,13,10,27,19,52,0,3,Rain,206
4/14/2015,23,19,14,13,11,9,77,58,34,1024,1022,1021,31,14,10,23,11,,0,3,,5
4/15/2015,26,20,15,17,14,12,82,65,36,1025,1023,1021,31,18,10,34,13,47,0,2,Rain-Thunderstorm,346
4/16/2015,32,24,17,20,16,11,88,64,18,1024,1021,1018,31,14,10,35,18,50,0.25,5,,279
4/17/2015,23,21,19,19,18,18,94,84,63,1025,1022,1020,26,11,2,19,13,,1.02,6,Rain,83
4/18/2015,29,24,20,19,17,14,94,64,32,1020,1015,1012,31,14,10,39,18,55,2.03,6,Rain,354
4/19/2015,21,18,15,18,14,8,94,76,37,1025,1019,1013,31,12,10,52,24,71,0,5,Rain,226
4/20/2015,17,16,14,16,15,12,100,93,76,1025,1022,1020,31,6,1,69,47,89,35.05,6,Rain,183
4/21/2015,17,16,14,16,14,11,100,88,65,1021,1017,1012,7,4,1,82,66,100,19.05,6,Rain-Thunderstorm,179
4/22/2015,18,16,13,17,16,13,100,93,81,1013,1012,1010,26,6,1,69,45,85,53.09,4,Rain-Thunderstorm,195
4/23/2015,21,18,14,17,16,13,100,87,67,1012,1011,1009,26,12,9,23,13,,0,2,Fog,234
4/24/2015,27,21,15,18,14,11,94,72,28,1009,1006,1004,31,10,1,19,11,,0,3,Fog,307
4/25/2015,23,19,13,16,12,8,94,68,30,1009,1007,1004,31,14,3,34,13,,7.87,2,Rain-Thunderstorm,291
4/26/2015,17,14,12,13,11,9,94,74,55,1015,1010,1005,31,12,9,37,23,50,3.05,5,Rain,252
4/27/2015,18,15,12,12,8,5,77,56,31,1023,1019,1015,31,12,10,29,21,42,0,2,,225
4/28/2015,18,14,11,12,8,6,82,60,43,1027,1025,1022,31,12,10,29,18,,0.51,2,Rain,215
4/29/2015,18,14,11,14,12,8,94,78,61,1031,1029,1027,31,11,5,32,16,,13.97,5,Rain,190
4/30/2015,19,17,14,15,13,12,94,78,53,1031,1029,1028,26,10,4,29,18,,7.87,6,Rain,157
5/1/2015,20,17,14,17,16,14,94,87,64,1029,1026,1022,26,10,4,32,18,45,5.08,5,Rain,168
5/2/2015,23,20,17,19,17,15,96,85,59,1023,1018,1014,19,9,3,32,19,50,14.99,5,Rain,117
5/3/2015,21,19,18,19,17,15,100,88,71,1015,1014,1012,19,10,6,39,31,53,0.51,6,Rain,196
5/4/2015,21,19,17,17,16,14,94,80,67,1016,1014,1012,31,13,10,27,18,,0,5,,199
5/5/2015,28,21,15,15,12,1,100,61,15,1012,1007,1003,31,9,0,39,14,,0,5,Fog,322
5/6/2015,21,17,13,3,2,-1,48,32,14,1017,1013,1009,31,23,18,40,27,,0,,,274
5/7/2015,20,16,11,4,2,-1,62,38,18,1019,1017,1015,31,31,31,42,26,61,0,,,283
5/8/2015,21,16,11,6,3,1,58,40,17,1019,1017,1015,31,15,10,35,21,45,0,1,,279
5/9/2015,22,17,11,5,4,3,62,42,21,1017,1015,1013,31,31,31,35,23,,0,,,286
5/10/2015,22,17,11,8,3,0,62,38,16,1014,1009,1005,31,31,31,48,21,64,0,,,323
5/11/2015,22,18,15,8,6,3,59,39,25,1015,1010,1006,,,,53,26,71,0,,,283
5/12/2015,23,17,12,7,5,2,72,42,18,1015,1013,1009,31,13,10,50,19,60,0,1,,303
5/13/2015,17,13,9,8,1,-4,82,41,16,1022,1016,1011,31,14,9,61,31,66,2.03,5,Rain,263
5/14/2015,18,12,7,4,1,-1,66,43,20,1028,1024,1021,31,22,10,34,27,53,0,1,,258
5/15/2015,18,14,11,12,8,4,72,59,43,1033,1031,1027,31,12,10,39,26,,0,5,,222
5/16/2015,18,16,14,13,12,10,88,71,53,1035,1034,1032,31,12,10,34,24,50,0,3,Rain,192
5/17/2015,19,14,10,14,11,8,94,77,56,1035,1033,1032,31,13,10,19,13,,0,4,Rain,276
5/18/2015,18,14,11,15,12,9,94,81,61,1032,1029,1025,26,12,10,14,10,,0,6,Rain,317
5/19/2015,22,18,14,16,14,12,94,78,45,1025,1019,1014,26,13,9,21,10,,2.03,7,Rain,341
5/20/2015,25,20,14,15,13,11,88,65,31,1016,1014,1013,31,18,10,26,16,,0.25,5,Rain,331
5/21/2015,20,17,14,14,12,8,88,68,37,1019,1017,1016,31,13,7,34,18,52,0.51,2,Rain-Thunderstorm,237
5/22/2015,17,14,12,15,11,8,100,78,48,1026,1020,1015,26,9,3,63,32,87,7.87,6,Rain,206
5/23/2015,17,14,11,12,9,6,94,69,46,1030,1028,1026,31,12,5,35,27,48,0,4,Rain,221
5/24/2015,19,13,8,9,7,5,87,64,34,1033,1031,1029,31,15,10,16,13,,0,1,,293
5/25/2015,19,14,9,10,8,6,82,64,36,1032,1030,1028,31,24,14,16,11,,0,,,324
5/26/2015,18,13,8,12,8,4,87,66,39,1030,1028,1025,26,14,10,19,11,,0,5,,299
5/27/2015,21,16,11,9,7,5,77,55,24,1026,1023,1021,31,28,26,16,13,,0,,,318
5/28/2015,23,17,11,13,10,8,82,59,29,1024,1021,1019,31,28,26,19,13,,0,8,,335
5/29/2015,20,18,13,14,12,8,88,66,42,1022,1020,1017,31,18,10,23,13,,0,8,Rain,297
5/30/2015,19,14,11,10,8,4,77,62,37,1023,1020,1017,31,22,10,23,13,,0,5,Rain,301
5/31/2015,16,13,11,7,5,3,71,54,32,1017,1014,1012,31,26,10,24,16,,0.25,8,,300
6/1/2015,15,12,9,5,-1,-6,71,39,16,1022,1016,1010,31,16,10,47,24,64,0,4,Rain,258
6/2/2015,15,11,7,5,0,-5,62,43,24,1024,1022,1021,10,10,10,39,29,48,0,1,,242
6/3/2015,16,11,7,9,5,1,76,60,32,1023,1022,1020,31,13,10,24,16,,0,3,,278
6/4/2015,20,13,7,7,4,1,87,57,22,1022,1020,1017,31,14,10,21,13,,0,2,,334
6/5/2015,16,12,9,7,5,3,76,59,35,1024,1019,1015,31,13,10,42,18,61,0,4,Rain,284
6/6/2015,21,16,11,12,8,5,88,61,35,1029,1027,1024,31,13,10,19,13,,0,4,,312
6/7/2015,22,16,9,10,8,7,94,63,26,1029,1026,1023,31,23,11,21,13,,0,,,333
6/8/2015,23,17,11,9,7,4,82,52,20,1024,1021,1018,31,21,10,47,18,64,0,4,,320
6/9/2015,23,17,12,12,6,1,72,46,15,1025,1020,1018,31,31,31,23,14,,0,,,308
6/10/2015,15,13,12,13,10,6,100,77,46,1035,1030,1025,26,10,5,29,18,48,1.02,6,Rain,212
6/11/2015,17,14,13,12,10,8,77,67,49,1037,1035,1034,31,13,10,27,16,,0,6,Rain,216
6/12/2015,19,16,13,12,11,8,88,70,45,1035,1033,1031,31,13,9,16,10,,0,6,Rain,294
6/13/2015,20,17,12,11,9,4,82,61,26,1032,1029,1026,31,14,10,23,11,,0,6,,330
6/14/2015,19,14,9,13,9,7,93,74,40,1029,1027,1025,31,13,10,16,11,34,0,2,,294
6/15/2015,18,14,10,15,12,9,100,83,57,1028,1026,1025,26,10,4,27,11,,1.02,6,Rain,331
6/16/2015,17,16,14,15,14,13,94,86,70,1025,1020,1016,26,11,6,21,13,,4.06,6,Rain,338
6/17/2015,18,16,13,16,14,11,98,86,71,1016,1011,1008,31,12,9,21,11,,0.76,6,Rain,329
6/18/2015,17,14,11,14,11,9,100,85,61,1016,1013,1011,26,10,3,32,16,,24.89,6,Rain,257
6/19/2015,14,12,9,11,9,7,100,82,56,1021,1017,1014,26,10,5,42,26,,2.03,6,Rain,225
6/20/2015,15,12,8,10,7,4,88,69,46,1026,1023,1020,31,12,9,35,24,35,0,3,Rain,234
6/21/2015,14,11,9,12,9,5,94,83,67,1029,1027,1025,31,11,4,21,13,,6.1,6,Rain,293
6/22/2015,19,13,8,11,7,2,100,67,22,1030,1027,1025,26,13,9,16,13,,0,2,Fog,335
6/23/2015,20,14,8,10,7,5,93,62,27,1027,1025,1023,26,24,19,19,13,,0,,,341
6/24/2015,21,16,11,14,9,6,88,63,26,1024,1021,1019,31,21,10,16,10,,0,6,,322
6/25/2015,18,16,12,14,12,9,100,75,58,1029,1023,1019,26,12,5,32,16,50,4.06,5,Rain,219
6/26/2015,18,14,10,11,8,4,88,65,30,1033,1031,1028,31,13,10,24,14,,0.25,3,,251
6/27/2015,20,14,8,9,7,4,93,65,28,1033,1031,1029,31,22,14,21,13,,0,,,330
6/28/2015,17,12,7,11,8,4,93,72,38,1033,1031,1030,31,12,10,14,13,,0,1,,293
6/29/2015,18,13,8,10,8,7,93,71,44,1033,1031,1029,31,12,10,14,11,,0,3,,336
6/30/2015,20,14,9,12,9,7,94,73,30,1030,1027,1024,26,12,9,16,11,,0,4,Fog,329
7/1/2015,17,13,9,10,7,0,94,65,22,1026,1024,1022,26,13,10,29,14,39,0.25,3,Rain,240
7/2/2015,17,11,6,3,2,-1,76,51,25,1024,1020,1016,31,16,10,60,27,69,0,2,,266
7/3/2015,14,10,6,6,3,-2,76,55,33,1027,1025,1023,31,17,10,27,21,47,0,1,,245
7/4/2015,16,11,5,4,2,-4,87,57,15,1025,1022,1019,31,23,10,23,14,,0,2,,287
7/5/2015,18,12,5,5,2,-2,76,50,15,1022,1020,1017,31,28,26,21,14,,0,,,320
7/6/2015,17,11,6,5,1,-1,81,49,19,1018,1015,1013,31,25,19,29,18,45,0,,,289
7/7/2015,14,10,7,10,6,1,94,70,43,1025,1020,1016,31,13,6,35,21,47,2.03,5,Rain,239
7/8/2015,14,11,8,10,8,6,94,79,57,1030,1028,1025,31,12,5,29,18,32,0.25,4,Rain,236
7/9/2015,17,11,6,9,6,4,93,69,33,1031,1028,1026,31,12,10,16,11,,0,1,,338
7/10/2015,16,11,7,10,8,5,94,76,54,1026,1021,1017,26,13,10,21,11,,0,5,Rain,315
7/11/2015,20,13,6,10,8,5,100,74,31,1017,1012,1004,31,11,4,48,13,64,5.08,2,Fog-Rain-Thunderstorm,324
7/12/2015,15,11,8,8,2,-4,95,57,18,1007,1003,1001,31,11,6,45,27,58,0,5,Rain-Thunderstorm,312
7/13/2015,18,13,8,8,3,0,93,54,28,1010,1003,999,31,13,9,47,29,71,0.51,4,Rain,294
7/14/2015,17,13,9,4,1,-2,62,42,18,1016,1011,1008,31,17,10,35,23,,0,2,,284
7/15/2015,16,11,6,7,2,-1,76,52,25,1018,1017,1015,31,16,10,16,13,,0,3,,295
7/16/2015,13,11,8,9,7,4,95,79,60,1018,1015,1013,31,11,6,29,13,,9.91,5,Rain-Thunderstorm,271
7/17/2015,14,10,6,7,4,1,93,68,40,1020,1013,1009,31,12,5,48,29,66,7.87,5,Rain,258
7/18/2015,13,10,7,9,5,1,88,67,42,1031,1025,1019,31,12,6,45,29,58,0.51,4,Rain,232
7/19/2015,14,11,7,10,8,5,93,79,56,1033,1031,1030,31,12,10,27,16,,0.25,2,,229
7/20/2015,16,12,8,11,9,6,94,80,59,1035,1033,1032,31,12,9,21,11,,0.51,5,Rain,256
7/21/2015,20,14,8,11,8,6,100,69,31,1033,1031,1027,31,12,10,29,14,,0,1,,355
7/22/2015,18,14,9,9,8,7,88,66,35,1028,1026,1024,31,26,14,27,11,,0,8,,344
7/23/2015,16,13,11,13,11,9,94,83,67,1026,1024,1022,31,12,8,19,10,,0.51,6,Rain,263
7/24/2015,21,16,11,13,11,7,94,71,32,1022,1017,1014,31,13,6,23,11,,0,6,Fog-Rain,341
7/25/2015,21,16,10,9,3,0,77,41,15,1018,1016,1013,31,29,26,23,16,,0,,,326
7/26/2015,21,16,11,5,2,-2,67,40,14,1021,1016,1011,31,18,10,42,23,61,0,4,,311
7/27/2015,15,11,8,1,-2,-5,62,37,16,1029,1024,1020,31,25,10,39,27,48,0,1,,272
7/28/2015,16,11,7,7,3,0,71,54,26,1033,1031,1029,10,10,10,34,23,,0,1,,244
7/29/2015,16,12,7,8,6,4,82,63,38,1035,1032,1029,31,13,10,19,13,,0,3,,351
7/30/2015,21,14,8,8,4,-1,87,51,15,1029,1023,1018,31,18,10,26,14,,0,6,,330
7/31/2015,21,16,11,8,4,1,63,43,17,1022,1020,1018,31,19,10,24,13,,0,3,,321
8/1/2015,23,15,7,7,3,-2,87,44,11,1021,1017,1015,31,29,19,45,16,58,0,,,330
8/2/2015,25,18,11,11,6,2,82,48,15,1016,1013,1009,31,31,31,39,14,50,0,,,284
8/3/2015,19,14,9,8,0,-2,67,37,17,1022,1015,1013,31,19,10,42,23,53,0,1,,266
8/4/2015,15,11,8,3,0,-3,62,44,24,1023,1020,1017,26,13,10,24,16,,0,5,Rain,283
8/5/2015,16,11,6,2,-1,-4,58,41,21,1017,1013,1010,31,29,26,34,19,48,0,,,297
8/6/2015,16,11,7,5,1,-2,66,47,19,1022,1016,1013,31,31,31,29,23,,0,,,249
8/7/2015,17,11,6,9,3,1,76,53,28,1024,1022,1021,31,31,31,24,16,35,0,,,260
8/8/2015,15,11,7,8,5,2,76,62,41,1025,1023,1022,31,14,10,29,16,,0,4,,242
8/9/2015,17,11,6,10,6,3,87,64,38,1025,1021,1018,31,12,10,19,13,,0,1,,346
8/10/2015,21,14,8,9,5,-1,93,53,17,1018,1015,1012,31,17,10,26,14,,0,1,,335
8/11/2015,21,15,9,10,3,-2,67,42,14,1014,1012,1010,31,22,10,23,14,,0,1,,302
8/12/2015,19,13,7,14,1,-3,100,43,16,1012,1007,1003,31,23,10,60,19,80,0,6,Rain,319
8/13/2015,19,13,8,2,1,-4,66,41,13,1022,1014,1008,31,22,10,39,29,58,0,5,,259
8/14/2015,18,12,7,8,3,2,77,51,23,1027,1024,1021,31,30,26,29,14,47,0,,,272
8/15/2015,16,12,8,12,8,4,77,66,44,1030,1029,1027,31,13,10,26,14,,0,4,,233
8/16/2015,21,16,11,13,9,5,88,65,35,1029,1024,1019,31,14,10,27,13,,0,3,,321
8/17/2015,21,14,9,5,2,-3,66,41,12,1019,1016,1013,31,29,26,34,18,42,0,,,273
8/18/2015,15,12,10,6,3,-2,67,49,29,1025,1020,1016,31,12,10,27,19,,0,2,,200
8/19/2015,16,12,9,8,6,3,72,57,36,1027,1025,1024,31,13,10,19,11,,0,3,,356
8/20/2015,20,14,8,13,9,6,87,65,36,1028,1026,1024,31,13,10,26,13,,0,1,,3
8/21/2015,23,16,9,13,9,7,94,64,26,1026,1023,1020,19,13,9,29,14,,0,1,,357
8/22/2015,28,21,15,11,8,5,59,39,14,1021,1018,1015,31,28,19,32,14,,0,,,355
8/23/2015,21,18,15,16,13,10,100,75,42,1022,1019,1017,31,11,5,19,10,,4.06,6,Rain,318
8/24/2015,17,16,14,16,14,14,100,93,84,1019,1016,1012,26,10,0,39,14,45,23.11,5,Rain-Thunderstorm,207
8/25/2015,20,16,12,15,10,8,100,70,37,1014,1012,1011,31,12,4,40,26,60,4.06,5,Rain,296
8/26/2015,19,16,13,15,13,12,100,83,63,1021,1017,1012,31,12,3,26,19,,0.25,5,Rain,187
8/27/2015,22,17,12,12,9,4,100,63,24,1020,1017,1014,31,13,10,35,14,,0,4,Rain,310
8/28/2015,18,14,10,11,7,3,82,56,27,1023,1019,1016,31,13,10,35,19,50,0,3,Rain,241
8/29/2015,20,14,9,8,4,0,82,52,17,1023,1020,1017,31,12,10,27,13,,0,1,,261
8/30/2015,16,12,7,9,5,0,72,56,36,1021,1019,1017,31,11,10,34,21,,0,3,,226
8/31/2015,16,13,9,8,6,3,71,55,34,1018,1016,1013,31,24,10,29,23,,0,5,,222
